title,my_rating
2001: A Space Odyssey,10
21 Grams,0
21 Jump Street,7
300,6
50 First Dates,6
50-50,9
500 Days of Summer,7
9,8
A Cat In Paris,0
A History of Violence,7
A Million Ways to Die in the West,6
AI,7
After the Wedding,7
Aladdin,8
Alien,8
Alien Resurrection,6
Aliens,8
All Is Lost,8
Amadeus,7
Amazing Grace,0
Amelie,7
American Sniper,0
Angels in America part 1,0
Angels in America part 2,0
Ant-Man,8
Apollo 13,9
Army of Darkness,7
Atonement,8
Attack the Block,0
Avatar,7
Away We Go,7
Babel,0
Banlieue 13,0
Batman - The Dark Knight Returns,7
Batman Begins,8
Batman Mask of the Phantasm,6
Batman The Dark Knight Rises,7
Batman The Dark Knight,9
Battle Los Angeles,6
Beauty and the Beast,6
Before Midnight,6
Begin Again,8
Bhopal - A Prayer for Rain,0
Big Fish,7
Big Hero 6,0
Bill and Ted's Bogus Journey,6
Bill and Ted's Excellent Adventure,7
Birdman,0
Black Hawk Down,6
Black Snake Moan,0
Black book,0
Blade Runner the final cut,10
Blades of Glory,6
Blue Jasmine,6
Boiler Room,0
Breach,0
Bridge of Spies,7
Bridget Jones's Diary,6
Cadillac Records,0
Capote,0
Captain America - The Winter Soldier,6
Captain America,7
Casino Royale,7
Cast Away,10
Catch Me If You Can,9
Chariots of Fire,0
Charlie Wilson's War,7
Chef,8
Chicken Run,9
Children of Men,10
Chocolat,7
City Lights,8
Closer,0
Cloud Atlas,7
Conan the Barbarian,0
Confessions of a Dangerous Mind,0
Constantine,6
Contact,9
Contagion,9
Crash,6
Crazy Heart,7
Crazy Stupid Love,7
Creed,6
Dallas Buyers Club,0
Dan In Real Life,7
Date Night,6
Dawn of the Planet of the Apes,6
Deep Impact,8
Definitely Maybe,6
Delicacy,7
Der Untergang,9
Desperado,7
Despicable Me,7
District 9,7
Dodgeball,6
Don Jon,0
Dredd,7
Drive,7
Dustbin Baby,6
Eastern Promises,0
Easy A,6
Edge of Tomorrow,7
Elizabeth,7
Elysium,7
Enchanted,7
End of Watch,0
Enemy Mine,0
Enemy Of The State,6
Enough Said,0
Enter The Dragon,7
Equilibrium,6
Erin Brockovich,0
Europa Europa,0
Europa Report,7
Ex Machina,8
Eye In The Sky,6
Fern Gully,0
Finding Forrester,7
First Knight,6
Flight,0
Flushed Away,7
Focus,0
Forgetting Sarah Marshall,7
Forrest Gump,8
Foxcatcher,0
Frequency,7
Friday Night Lights,0
Friends with Benefits,6
Frost Nixon,0
Frozen,7
Fury,7
Galaxy Quest,8
Garden State,7
Gattaca,9
Get Him to the Greek,0
Get Smart,7
Gladiator,6
Glengarry Glen Ross,0
Godzilla,6
Gone Baby Gone,0
Good Kill,7
Good Night and Good Luck,7
Good Will Hunting,9
Goodbye Lenin,9
Gran Torino,7
Guardians of the Galaxy,6
Hanna,6
Harold and Kumar Go to White Castle,6
Harry Potter and the Deathly Hallows part1,7
Harry Potter and the Deathly Hallows part2,7
Hellboy the Golden Army,6
Her,6
Hercules,6
Hero,7
Hitch,7
Horrible Bosses,6
Hors de Prix,7
Hot Fuzz,8
Hot Tub Time Machine,6
How To Train Your Dragon,6
How to Train Your Dragon 2,5
I Am Legend,6
I Love You Phillip Morris,0
I'm Not There,0
Idiocracy,6
In Bruges,7
Inception,9
Independence Day,6
Indiana Jones and Raiders of the Lost Ark,7
Indiana Jones and the Last Crusade,7
Indiana Jones and the Temple of Doom,6
Inside Llewyn Davis,6
Inside Man,6
Inside Out,7
Interstellar,9
Into The Storm,0
Into The Woods,7
Iron Man 2,5
Iron Man 3,5
Iron Man,6
Jack Reacher,7
Jack Ryan Shadow Recruit,6
Jarhead,6
Juno,7
Kingdom of Heaven,7
Kingsman,6
Kinsey,0
Kiss Kiss Bang Bang,0
Kungfu Panda 2,6
Kungfu Panda,7
Lars and the RealGirl,8
Leap Year,0
Leon the Professional,7
Lilo and Stitch,7
Lincoln,9
Little Miss Sunshine,8
Lone Survivor,7
Lord of War,8
Love Actually,7
Love and Other Drugs,0
Mad Max 3 - Beyond Thunderdome,7
Mad Max Fury Road,8
Magic Mike,0
Maleficent,7
Man Up,0
Margin Call,0
Master and Commander,7
Me and Earl and the Dying Girl,8
Megamind,6
Men in Black 2,6
Men in Black 3,7
Men in Black,7
Michael Collins,0
Milk,0
Million Dollar Baby,8
Minority Report,8
Miss Congeniality,6
Miss Pettigrew Lives for a Day,7
Mission Impossible Ghost Protocol,6
Mission Impossible III,7
Mission Impossible Rogue Nation,6
Mission Impossible,6
Monster Inc,7
Monster,0
Moon,8
Moonrise Kingdom,0
Moulin Rouge,7
Mr Nobody,0
Mrs Doubtfire,6
Music and Lyrics,6
My Fair Lady,7
Nausicaa of the Valley of the Wind,9
Nicholas Nickleby,0
Nixon,8
Non-Stop,0
North Country,0
Notes on a Scandal,0
Now You See Me,6
O Brother Where Art Thou,8
OSS 117 Cairo Nest of Spies,6
Oblivion,6
Oceans Eleven,7
Oceans Thirteen,7
Oceans Twelve,7
Old School,0
Olympus Has Fallen,6
Once Upon A Time in Mexico,0
Once,7
Osmosis Jones,6
Pacific Rim,7
Paperman,7
Patch Adams,0
Patton,7
Paycheck,7
Percy Jackson Sea of Monsters,5
Percy Jackson The Lightning Thief,6
Philomena,0
Pineapple Express,7
Pitch Perfect,7
Pollock,8
Predator,6
Predestination,0
Premium Rush,7
Pride and Prejudice,7
Princess Mononoke,9
Prisoners,0
Proof of Life,7
Public Enemies,0
Puncture,0
Rachel Getting Married,0
Rain Man,6
Rango,6
Ray,7
Renaissance,0
Richard III,0
Riverworld,0
Robot and Frank,9
Romeo and Juliet,7
Rounders,0
Run Fatboy Run,6
Run Lola Run,7
Rush,7
Salmon Fishing in the Yemen,7
Saving Face,7
Saving Mr. Banks,7
Saving Private Ryan,10
Scott Pilgrim vs The World,7
Seraphim Falls,0
Serenity,7
Seven Years in Tibet,7
Shakespeare in Love,0
Shaolin Soccer,6
Shark Tale,6
Shaun of The Dead,0
Shaun the Sheep Movie,6
Shooter,6
Shrek 2,6
Shrek Forever After,6
Shrek the Third,5
Shrek,6
Sicario,7
Side Effects,0
Sideways,7
Silent Running,8
Skyfall,6
Sleepy Hollow,7
Slither,0
Sneakers,8
Snow Falling On Cedars,9
Snowpiercer,7
Something The Lord Made,0
Song of the Sea,7
Southpaw,0
Space Cowboys,7
Spaceballs,7
Sphere,7
Spider Man 2,7
Spider Man 3,6
Spider Man,7
Spirited Away,0
Spy Game,8
Spy,7
Star Trek First Contact,8
Star Trek III The Search for Spock,7
Star Trek IV The Voyage Home,7
Star Trek Into Darkness,6
Star Trek VI The Undiscovered Country,6
Star Trek,7
Star Wars IV A New Hope,7
Star Wars V The Empire Strikes Back,7
Star Wars VI Return of the Jedi,7
Stardust,7
Starship Troopers,6
Starsky And Hutch,0
Stranger Than Fiction,7
Sunshine,7
Super 8,7
Superbad,7
Surfs Up,0
Taken,6
Talladega Nights,6
Tangled,0
Ted,6
Tell No One,0
Ten Inch Hero,7
Terminator 3,6
Terminator Salvation,6
The 40 Year Old Virgin,6
The Abyss,9
The Adjustment Bureau,7
The American President,7
The Arrival,9
The Artist,7
The Avengers Age of Ultron,6
The Avengers,7
The Aviator,9
The Bank Job,0
